GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
182,1.42e-05,1.5e-07,0.2236,5.252039,1.1743108,1233.62,JAG1,jagged canonical Notch ligand 1
10584,1.59e-05,1.75e-07,0.32,5.224527,1.6718212,72.02,COLEC10,collectin subfamily member 10
54567,1.74e-05,1.98e-07,0.2239,5.201393,1.1648322,215.15,DLL4,delta like canonical Notch ligand 4
8639,2.01e-05,2.3e-07,0.282,5.173085,1.4586327,188.92,AOC3,amine oxidase copper containing 3
3351,2.05e-05,2.37e-07,0.24,5.167633,1.2402715,42.33,HTR1B,5-hydroxytryptamine receptor 1B
654,2.96e-05,3.57e-07,0.2171,5.090531,1.1050871,179.7,BMP6,bone morphogenetic protein 6
4811,3.01e-05,3.69e-07,0.2027,5.084432,1.0305385,2267.74,NID1,nidogen 1
11178,3.3e-05,4.09e-07,0.2569,5.064883,1.3009851,156.08,LZTS1,leucine zipper tumor suppressor 1
4629,3.5e-05,4.41e-07,0.2685,5.050497,1.3560415,1562.08,MYH11,myosin heavy chain 11
254228,3.9e-05,5.07e-07,0.2167,5.023759,1.0885208,160.51,CALHM5,calcium homeostasis modulator family member 5
79839,3.97e-05,5.18e-07,0.2705,5.019528,1.3578368,371.47,CCDC102B,coiled-coil domain containing 102B
8788,5.24e-05,7.15e-07,0.2301,4.957369,1.1406035,4281.89,DLK1,delta like non-canonical Notch ligand 1
1608,5.34e-05,7.31e-07,0.2903,4.953029,1.4379695,234.53,DGKG,diacylglycerol kinase gamma
2977,5.41e-05,7.44e-07,0.2266,4.949388,1.1213983,1620.84,GUCY1A2,guanylate cyclase 1 soluble subunit alpha 2
105375166,5.46e-05,7.54e-07,0.2205,4.946928,1.090886,99.48,LOC105375166,uncharacterized LOC105375166
134549,5.51e-05,7.63e-07,0.2723,4.944608,1.3463847,191.37,SHROOM1,shroom family member 1
101927482,6.15e-05,8.64e-07,0.2757,4.920371,1.3566595,72.03,HECW2-AS1,HECW2 antisense RNA 1
2334,7.04e-05,1.02e-06,0.2536,4.888291,1.2398071,567.03,AFF2,ALF transcription elongation factor 2
221301,7.08e-05,1.03e-06,0.38,4.886465,1.8570128,79.02,CALHM4,calcium homeostasis modulator family member 4
108783654,7.22e-05,1.05e-06,0.3512,4.881357,1.714373,1173.79,HSD17B1-AS1,HSD17B1 antisense RNA 1
51101,7.83e-05,1.16e-06,0.229,4.862404,1.1135823,255.0,ZC2HC1A,zinc finger C2HC-type containing 1A
9388,7.84e-05,1.17e-06,0.2286,4.86136,1.1115477,1507.88,LIPG,"lipase G, endothelial type"
102723406,0.0001,1.57e-06,0.3394,4.801508,1.6295606,101.19,LOC102723406,uncharacterized LOC102723406
64344,0.000107,1.71e-06,0.295,4.784837,1.4117079,608.1,HIF3A,hypoxia inducible factor 3 subunit alpha
4148,0.000115,1.88e-06,0.2519,4.766281,1.2005164,32.52,MATN3,matrilin 3
395,0.00013,2.17e-06,0.2353,4.736469,1.1143628,73.11,ARHGAP6,Rho GTPase activating protein 6
440482,0.000143,2.46e-06,0.3729,4.711682,1.7570202,151.89,ANKRD20A5P,"ankyrin repeat domain 20 family member A5, pseudogene"
11170,0.000146,2.52e-06,0.2921,4.706654,1.3746406,102.81,FAM107A,family with sequence similarity 107 member A
1602,0.000161,2.82e-06,0.266,4.683552,1.2456076,137.42,DACH1,dachshund family transcription factor 1
80243,0.000173,3.08e-06,0.2307,4.665694,1.0764229,700.09,PREX2,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2"
114800,0.000219,4.07e-06,0.2356,4.607814,1.0856384,123.8,CCDC85A,coiled-coil domain containing 85A
1879,0.000239,4.53e-06,0.261,4.585405,1.1965782,919.5,EBF1,EBF transcription factor 1
143503,0.000278,5.4e-06,0.3044,4.54845,1.3843271,75.91,OR51E1,olfactory receptor family 51 subfamily E member 1
93556,0.000286,5.63e-06,0.364,4.539915,1.6524456,87.27,EGFEM1P,"EGF like and EMI domain containing 1, pseudogene"
151230,0.000289,5.75e-06,0.2315,4.535527,1.0500183,57.51,KLHL23,kelch like family member 23
10581,0.000327,6.62e-06,0.2294,4.505594,1.033798,237.35,IFITM2,interferon induced transmembrane protein 2
107986768,0.000335,6.79e-06,0.309,4.500044,1.3906132,3272.45,LOC107986768,uncharacterized LOC107986768
595,0.000344,7.04e-06,0.2496,4.49238,1.1214216,859.03,CCND1,cyclin D1
58189,0.000345,7.11e-06,0.2515,4.490401,1.1291273,194.28,WFDC1,WAP four-disulfide core domain 1
55273,0.000347,7.18e-06,0.2917,4.488364,1.3093326,121.26,TMEM100,transmembrane protein 100
102724449,0.000374,7.84e-06,0.5709,4.469375,2.5515273,22.53,SOD1-DT,SOD1 divergent transcript
57105,0.000375,7.92e-06,0.2586,4.467303,1.1552479,177.33,CYSLTR2,cysteinyl leukotriene receptor 2
100129345,0.000422,9.22e-06,0.2789,4.434798,1.2370514,187.72,LINC02291,long intergenic non-protein coding RNA 2291
5028,0.000427,9.42e-06,0.2604,4.43001,1.1536627,435.19,P2RY1,purinergic receptor P2Y1
80347,0.000475,1.07e-05,0.2836,4.401715,1.2485374,577.67,COASY,Coenzyme A synthase
185,0.000499,1.14e-05,0.2722,4.388923,1.1946914,635.6,AGTR1,angiotensin II receptor type 1
23500,0.000542,1.26e-05,0.2423,4.3676,1.0583566,333.55,DAAM2,dishevelled associated activator of morphogenesis 2
5360,0.000582,1.36e-05,0.2567,4.350113,1.1167311,1392.92,PLTP,phospholipid transfer protein
55350,0.000599,1.42e-05,0.5202,4.34021,2.2577019,53.56,VNN3P,"vanin 3, pseudogene"
83483,0.000633,1.51e-05,0.2757,4.326591,1.192684,259.99,PLVAP,plasmalemma vesicle associated protein
2051,0.000688,1.67e-05,0.3876,4.304738,1.6686228,175.04,EPHB6,EPH receptor B6
100526825,0.000688,1.68e-05,0.2574,4.303588,1.1076567,54.06,INMT-MINDY4,INMT-MINDY4 readthrough (NMD candidate)
140766,0.000766,1.91e-05,0.252,4.274795,1.0774439,164.57,ADAMTS14,ADAM metallopeptidase with thrombospondin type 1 motif 14
57519,0.000766,1.91e-05,0.245,4.274655,1.047254,580.5,STARD9,StAR related lipid transfer domain containing 9
80078,0.000831,2.09e-05,0.2981,4.254521,1.2684443,427.6,LCAL1,lung cancer associated lncRNA 1
8842,0.00087,2.22e-05,0.2403,4.241438,1.0193855,245.95,PROM1,prominin 1
196883,0.000906,2.33e-05,0.2612,4.231006,1.1051633,467.06,ADCY4,adenylate cyclase 4
6710,0.000951,2.48e-05,0.2391,4.216356,1.0080598,399.55,SPTB,"spectrin beta, erythrocytic"
25802,0.00103,2.73e-05,0.2639,4.195303,1.1069485,292.58,LMOD1,leiomodin 1
9104,0.00107,2.87e-05,0.3231,4.183203,1.351478,51.14,RGN,regucalcin
51751,0.00108,2.91e-05,0.3275,4.180299,1.3689185,50.98,HIGD1B,HIG1 hypoxia inducible domain family member 1B
64857,0.00109,2.95e-05,0.2726,4.177555,1.1386594,373.06,PLEKHG2,pleckstrin homology and RhoGEF domain containing G2
63876,0.00116,3.15e-05,0.2709,4.162164,1.1274711,100.0,PKNOX2,PBX/knotted 1 homeobox 2
11156,0.00121,3.33e-05,0.2617,4.149796,1.0859877,68.2,PTP4A3,protein tyrosine phosphatase 4A3
9079,0.00127,3.54e-05,0.2758,4.135513,1.1407428,298.35,LDB2,LIM domain binding 2
3899,0.00151,4.32e-05,0.295,4.089422,1.2062401,360.93,AFF3,ALF transcription elongation factor 3
80704,0.00162,4.71e-05,0.29,4.069606,1.1803764,877.94,SLC19A3,solute carrier family 19 member 3
3292,0.00181,5.36e-05,0.3656,4.039442,1.476907,1362.52,HSD17B1,hydroxysteroid 17-beta dehydrogenase 1
80763,0.00204,6.19e-05,0.479,4.00533,1.918646,40.09,SPX,spexin hormone
105371363,0.0021,6.42e-05,0.2811,3.996917,1.1236503,86.4,HSD17B2-AS1,HSD17B2 antisense RNA 1
105375184,0.00214,6.54e-05,0.3692,3.992494,1.4738987,176.42,LOC105375184,
11042,0.00225,7.04e-05,0.2734,3.974932,1.0869142,125.87,GUSBP15,GUSB pseudogene 15
219902,0.00226,7.1e-05,0.2542,3.972837,1.0099754,129.74,TLCD5,TLC domain containing 5
105374580,0.00246,7.86e-05,0.3415,3.948622,1.3483069,26.89,PRKCE-AS1,PRKCE antisense RNA 1
105376718,0.00268,8.67e-05,0.2744,3.924984,1.0768929,70.79,LOC105376718,uncharacterized LOC105376718
