GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
100288152,0.0102,0.000487,0.4512,-3.488031,-1.5738971,76.06,SLC9A3-AS1,SLC9A3 antisense RNA 1
4067,0.0102,0.000491,0.3261,-3.48575,-1.136529,789.73,LYN,"LYN proto-oncogene, Src family tyrosine kinase"
146227,0.0104,0.000503,0.3516,-3.479416,-1.2233153,57.28,BEAN1,brain expressed associated with NEDD4 1
4257,0.0107,0.000518,0.6516,-3.471069,-2.2617033,38.06,MGST1,microsomal glutathione S-transferase 1
124872,0.0111,0.000537,0.6684,-3.461356,-2.3136826,22.57,B4GALNT2,"beta-1,4-N-acetyl-galactosaminyltransferase 2"
3751,0.0111,0.000538,0.4817,-3.460969,-1.6672468,22.81,KCND2,potassium voltage-gated channel subfamily D member 2
101928317,0.0111,0.000539,0.3299,-3.460452,-1.1416114,18.31,LOC101928317,uncharacterized LOC101928317
56971,0.0113,0.000551,0.3027,-3.45481,-1.0458775,50.9,CEACAM19,CEA cell adhesion molecule 19
107985369,0.0114,0.000559,0.392,-3.450845,-1.3527613,23.38,LOC107985369,replaced by ID 64388
100861514,0.0117,0.000573,0.3052,3.444043,1.0510012,42.41,ELMO1-AS1,ELMO1 antisense RNA 1
102725228,0.0117,0.000573,0.5124,-3.444066,-1.7646952,11.66,LOC102725228,uncharacterized LOC102725228
100505570,0.0117,0.000578,0.3551,3.441723,1.2222532,36.5,LINC02708,long intergenic non-protein coding RNA 2708
439921,0.0118,0.000584,0.4908,-3.438906,-1.6879786,522.84,MXRA7,matrix remodeling associated 7
3620,0.0119,0.000587,0.2972,3.437609,1.021651,306.5,IDO1,"indoleamine 2,3-dioxygenase 1"
105376910,0.012,0.000596,0.4647,-3.433275,-1.5955993,214.31,LOC105376910,uncharacterized LOC105376910
401944,0.0122,0.000605,0.4142,-3.429167,-1.4204038,340.2,LDLRAD2,low density lipoprotein receptor class A domain containing 2
51316,0.0122,0.000607,0.7178,-3.428407,-2.4607997,254.76,PLAC8,placenta associated 8
